id,year,month,total_sales,registered_car_sales,kei_car_sales,registered_yoy_pct,kei_yoy_pct,ytd_total,ytd_yoy_pct,data_source,crawl_date
996,2018,10,157439,,157439,,11.7,,,kcar_only,2026-06-24
997,2018,11,162349,,162349,,9.2,,,kcar_only,2026-06-24
998,2018,12,136646,,136646,,3.6,,,kcar_only,2026-06-24
999,2019,1,158927,,158927,,1.8,,,kcar_only,2026-06-24
1000,2019,2,179017,,179017,,1.0,,,kcar_only,2026-06-24
1001,2019,3,223440,,223440,,-2.5,,,kcar_only,2026-06-24
1002,2019,4,147733,,147733,,4.9,,,kcar_only,2026-06-24
1003,2019,5,148782,,148782,,9.5,,,kcar_only,2026-06-24
1004,2019,6,160173,,160173,,-0.5,,,kcar_only,2026-06-24
1005,2019,7,158657,,158657,,-0.6,,,kcar_only,2026-06-24
1006,2019,8,145882,,145882,,11.5,,,kcar_only,2026-06-24
1007,2019,9,200503,,200503,,13.2,,,kcar_only,2026-06-24
1008,2019,10,122294,,122294,,-22.3,,,kcar_only,2026-06-24
1009,2019,11,147014,,147014,,-9.4,,,kcar_only,2026-06-24
1010,2019,12,117924,,117924,,-13.7,,,kcar_only,2026-06-24
1011,2020,1,138639,,138639,,-12.8,,,kcar_only,2026-06-24
1012,2020,2,161883,,161883,,-9.6,,,kcar_only,2026-06-24
1013,2020,3,206483,,206483,,-7.6,,,kcar_only,2026-06-24
1014,2020,4,98255,,98255,,-33.5,,,kcar_only,2026-06-24
1015,2020,5,70307,,70307,,-52.7,,,kcar_only,2026-06-24
1016,2020,6,132515,,132515,,-17.3,,,kcar_only,2026-06-24
1017,2020,7,156991,,156991,,-1.1,,,kcar_only,2026-06-24
1018,2020,8,128607,,128607,,-11.8,,,kcar_only,2026-06-24
1019,2020,9,176186,,176186,,-12.1,,,kcar_only,2026-06-24
1020,2020,10,153547,,153547,,25.6,,,kcar_only,2026-06-24
1021,2020,11,158532,,158532,,7.8,,,kcar_only,2026-06-24
1022,2020,12,136143,,136143,,15.4,,,kcar_only,2026-06-24
1023,2021,1,147850,,147850,,6.6,,,kcar_only,2026-06-24
1024,2021,2,169926,,169926,,5.0,,,kcar_only,2026-06-24
1025,2021,3,228889,,228889,,10.9,,,kcar_only,2026-06-24
1026,2021,4,139541,,139541,,42.0,,,kcar_only,2026-06-24
1027,2021,5,125568,,125568,,78.6,,,kcar_only,2026-06-24
1028,2021,6,130934,,130934,,-1.2,,,kcar_only,2026-06-24
1029,2021,7,130300,,130300,,-17.0,,,kcar_only,2026-06-24
1030,2021,8,113129,,113129,,-12.0,,,kcar_only,2026-06-24
1031,2021,9,112948,,112948,,-35.9,,,kcar_only,2026-06-24
1032,2021,10,102598,,102598,,-33.2,,,kcar_only,2026-06-24
1033,2021,11,133179,,133179,,-16.0,,,kcar_only,2026-06-24
1034,2021,12,117660,,117660,,-13.6,,,kcar_only,2026-06-24
1035,2022,1,329210,206634,122576,,-17.1,,,calculated,2026-06-24
1036,2022,2,353960,212991,140969,,-17.0,,,calculated,2026-06-24
1037,2022,3,510622,325053,185569,,-18.9,,,calculated,2026-06-24
1038,2022,4,299229,178370,120859,,-13.4,,,calculated,2026-06-24
1039,2022,5,261163,161084,100079,,-20.3,,,calculated,2026-06-24
1040,2022,6,326751,196385,130366,,-0.4,,,calculated,2026-06-24
1041,2022,7,349012,213811,135201,,3.8,,,calculated,2026-06-24
1042,2022,8,289323,178356,110967,,-1.9,,,calculated,2026-06-24
1043,2022,9,393768,240647,153121,,35.6,,,calculated,2026-06-24
1044,2022,10,358118,210501,147617,,43.9,,,calculated,2026-06-24
1045,2022,11,375532,219994,155538,,16.8,,,calculated,2026-06-24
1046,2022,12,342969,207695,135274,,15.0,,,calculated,2026-06-24
1047,2023,1,381753,228912,152841,,24.7,,,calculated,2026-06-24
1048,2023,2,425216,268327,156889,,11.3,,,calculated,2026-06-24
1049,2023,3,570725,376788,193937,,4.5,,,calculated,2026-06-24
1050,2023,4,348792,219187,129605,,7.2,,,calculated,2026-06-24
1051,2023,5,326033,205965,120068,,20.0,,,calculated,2026-06-24
1052,2023,6,391436,258511,132925,,2.0,,,calculated,2026-06-24
1053,2023,7,378287,252476,125811,,-6.9,,,calculated,2026-06-24
1054,2023,8,339136,212660,126476,,14.0,,,calculated,2026-06-24
1055,2023,9,436103,270818,165285,,7.9,,,calculated,2026-06-24
1056,2023,10,396597,242069,154528,,4.7,,,calculated,2026-06-24
1057,2023,11,409968,253933,156035,,0.3,,,calculated,2026-06-24
1058,2023,12,360913,230394,130519,,-3.5,,,calculated,2026-06-24
1059,2024,1,333803,215853,117950,,-22.8,,,calculated,2026-06-24
